Flicknamn 2016;;;;;;;;Innehåll;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2016.   ;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;
;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;;Antal bärare;;Rangordning;
2016;2015;;2016;2015;;;2016;2015;2016;2015
1;(2);Alice;910;(847);;Adele;157;(129);84;(Ny)
2;(6);Lilly ;690;(613);;Agnes;570;(552);12;(11)
3;(3);Maja ;664;(674);;Alice;910;(847);1;(2)
4;(1);Elsa ;643;(872);;Alicia ;627;(479);6;(21)
5;(5);Ella ;635;(627);;Alma ;547;(498);14;(17)
6;(21);Alicia ;627;(479);;Alva ;508;(544);18;(14)
7;(7);Olivia;601;(583);;Amanda ;215;(275);66;(49)
8;(10);Julia;597;(574);;Amelia ;164;(149);80;(88)
9;(8);Ebba ;596;(576);;Astrid ;543;(491);15;(18)
10;(9);Wilma;587;(575);;Bianca ;142;(136);96;(93)
11;(4);Saga ;575;(671);;Celine;268;(206);46;(61)
12;(11);Agnes;570;(552);;Clara;494;(542);21;(15)
13;(12);Freja ;566;(546);;Cleo;160;(45);83;(Ny)
14;(17);Alma ;547;(498);;Cornelia ;165;(171);79;(77)
15;(18);Astrid ;543;(491);;Ebba ;596;(576);9;(8)
16;(23);Ellie;520;(453);;Edith;268;(331);46;(36)
17;(12);Molly ;516;(546);;Elin ;300;(328);40;(37)
18;(14);Alva ;508;(544);;Elina ;147;(136);93;(93)
18;(18);Ellen;508;(491);;Elise;337;(347);36;(32)
20;(22);Stella ;495;(477);;Ella ;635;(627);5;(5)
21;(15);Clara;494;(542);;Ellen;508;(491);18;(18)
22;(16);Linnea;476;(510);;Ellie;520;(453);16;(23)
23;(30);Emma;469;(392);;Ellinor;151;(180);90;(75)
24;(25);Signe ;451;(421);;Elsa ;643;(872);4;(1)
25;(20);Isabelle ;436;(485);;Elvira ;311;(312);39;(39)
25;(24);Vera ;436;(447);;Emelie ;162;(190);81;(67)
27;(29);Leah;421;(400);;Emilia;416;(369);28;(31)
28;(31);Emilia;416;(369);;Emma;469;(392);23;(30)
29;(26);Ester;402;(418);;Emmy ;147;(166);93;(79)
30;(38);Sara;397;(323);;Ester;402;(418);29;(26)
31;(34);Nova;394;(341);;Felicia ;263;(279);48;(47)
32;(35);Ines ;381;(335);;Filippa ;155;(146);85;(89)
33;(28);Nellie ;380;(414);;Freja ;566;(546);13;(12)
34;(26);Selma ;378;(418);;Greta ;147;(194);93;(64)
35;(48);Sigrid ;338;(277);;Hanna ;233;(225);60;(60)
36;(32);Elise;337;(347);;Hedda;137;(128);100;(Ny)
37;(33);Sofia;333;(342);;Hilda ;161;(132);82;(97)
38;(44);Juni ;318;(285);;Hilma ;155;(131);85;(98)
39;(39);Elvira ;311;(312);;Ida ;249;(286);54;(43)
40;(37);Elin ;300;(328);;Ines;381;(335);32;(35)
40;(45);Isabella ;300;(282);;Ingrid;213;(183);68;(74)
40;(58);Lovisa;300;(238);;Iris ;291;(280);43;(46)
43;(46);Iris ;291;(280);;Isabella ;300;(282);40;(45)
44;(53);Liv ;288;(260);;Isabelle ;436;(485);25;(20)
45;(40);Tyra ;282;(306);;Jasmine;194;(192);72;(66)
46;(61);Celine;268;(206);;Joline;175;(163);75;(82)
46;(36);Edith;268;(331);;Julia;597;(574);8;(10)
48;(47);Felicia ;263;(279);;Julie;151;(136);90;(93)
49;(50);Meja;255;(270);;Juni ;318;(285);38;(44)
50;(52);Moa ;254;(263);;Leah;421;(400);27;(29)
51;(59);Livia;252;(231);;Leia;237;(206);57;(61)
51;(42);Nora;252;(288);;Lilly ;690;(613);2;(6)
51;(41);Tuva ;252;(295);;Linn;167;(131);78;(98)
54;(43);Ida ;249;(286);;Linnea;476;(510);22;(16)
55;(57);Thea;240;(240);;Liv ;288;(260);44;(53)
56;(55);Siri ;239;(256);;Livia;252;(231);51;(59)
57;(61);Leia;237;(206);;Lo;151;(162);90;(83)
57;(80);Maria;237;(164);;Lova ;220;(267);65;(51)
59;(54);Matilda ;234;(258);;Lovis;154;(151);88;(87)
60;(60);Hanna ;233;(225);;Lovisa;300;(238);40;(58)
61;(63);Majken ;225;(204);;Luna;209;(137);69;(92)
62;(71);Lykke;222;(185);;Lykke;222;(185);62;(71)
62;(56);Tilde ;222;(247);;Maja ;664;(674);3;(3)
64;(68);Stina ;221;(189);;Majken ;225;(204);61;(63)
65;(51);Lova ;220;(267);;Maria;237;(164);57;(80)
66;(49);Amanda ;215;(275);;Matilda ;234;(258);59;(54)
67;(70);Melissa;214;(186);;Meja;255;(270);49;(50)
68;(74);Ingrid;213;(183);;Melissa;214;(186);67;(70)
69;(92);Luna;209;(137);;Mila;142;(116);96;(Ny)
70;(80);Sally;198;(164);;Moa ;254;(263);50;(52)
71;(91);My;197;(144);;Molly ;516;(546);17;(12)
72;(66);Jasmine;194;(192);;My;197;(144);71;(91)
73;(64);Ronja ;183;(194);;Märta ;172;(184);77;(72)
74;(78);Rut;182;(169);;Nathalie ;140;(187);98;(69)
75;(82);Joline;175;(163);;Nellie ;380;(414);33;(28)
76;(72);Svea ;173;(184);;Nora;252;(288);51;(42)
77;(72);Märta ;172;(184);;Nova;394;(341);31;(34)
78;(98);Linn;167;(131);;Novalie;140;(160);98;(85)
79;(77);Cornelia ;165;(171);;Olivia;601;(583);7;(7)
80;(88);Amelia ;164;(149);;Penny;155;(88);85;(Ny)
81;(67);Emelie ;162;(190);;Ronja ;183;(194);73;(64)
82;(97);Hilda ;161;(132);;Rut;182;(169);74;(78)
83;(Ny);Cleo;160;(45);;Saga ;575;(671);11;(4)
84;(Ny);Adele;157;(129);;Sally;198;(164);70;(80)
85;(89);Filippa ;155;(146);;Sara;397;(323);30;(38)
85;(98);Hilma ;155;(131);;Selma ;378;(418);34;(26)
85;(Ny);Penny;155;(88);;Signe ;451;(421);24;(25)
88;(87);Lovis;154;(151);;Sigrid ;338;(277);35;(48)
88;(75);Tilda ;154;(180);;Siri ;239;(256);56;(55)
90;(75);Ellinor;151;(180);;Sofia;333;(342);37;(33)
90;(93);Julie;151;(136);;Stella ;495;(477);20;(22)
90;(83);Lo;151;(162);;Stina ;221;(189);64;(68)
93;(93);Elina ;147;(136);;Svea ;173;(184);76;(72)
93;(79);Emmy ;147;(166);;Thea;240;(240);55;(57)
93;(64);Greta ;147;(194);;Tilda ;154;(180);88;(75)
96;(93);Bianca ;142;(136);;Tilde ;222;(247);62;(56)
96;(Ny);Mila;142;(116);;Tuva ;252;(295);51;(41)
98;(69);Nathalie ;140;(187);;Tyra ;282;(306);45;(40)
98;(85);Novalie;140;(160);;Vera ;436;(447);25;(24)
100;(Ny);Hedda;137;(128);;Wilma;587;(575);10;(9)
