Flicknamn 2003;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2003.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2003;2002;Namn;Antal;Per;Namn;Antal;Per;2003;2002
;;;bärare;1000;;bärare;1000;;
1;(1);Emma;1383;28;Agnes;443;9;32;(35)
2;(2);Elin;1055;21;Alexandra;206;4;57;(47)
3;(6);Ida;975;20;Alice;672;14;16;(20)
4;(4);Hanna;939;19;Alicia;331;7;43;(52)
5;(5);Linnéa;912;18;Alma;373;8;39;(41)
6;(3);Julia;896;18;Alva;849;17;9;(13)
7;(7);Wilma;882;18;Amanda;739;15;11;(10)
8;(11);Maja;856;17;Andrea;117;2;90;(93)
9;(13);Alva;849;17;Anna;439;9;33;(27)
10;(9);Moa;817;16;Annie;147;3;79;(77)
11;(10);Amanda;739;15;Astrid;149;3;76;(83)
12;(12);Klara;728;15;Cassandra;104;2;100;(NY)
13;(8);Matilda;717;14;Cornelia;198;4;61;(58)
14;(15);Ebba;706;14;Ebba;706;14;14;(15)
15;(18);Ella;689;14;Elin;1055;21;2;(2)
16;(20);Alice;672;14;Elina;194;4;64;(75)
17;(16);Emilia;629;13;Ella;689;14;15;(18)
18;(17);Felicia;606;12;Ellen;510;10;21;(21)
19;(14);Sara;582;12;Ellinor;123;2;86;(80)
20;(19);Tilda;551;11;Elsa;474;10;25;(31)
21;(21);Ellen;510;10;Elvira;251;5;53;(56)
22;(24);Lovisa;492;10;Emelie;478;10;24;(23)
23;(29);Isabelle;480;10;Emilia;629;13;17;(16)
24;(23);Emelie;478;10;Emma;1383;28;1;(1)
25;(31);Elsa;474;10;Emmy;217;4;55;(62)
26;(28);Tilde;470;9;Engla;105;2;98;(NY)
27;(29);Sofia;465;9;Ester;133;3;83;(NY)
28;(26);Frida;460;9;Evelina;229;5;54;(53)
29;(43);Tindra;456;9;Fanny;283;6;49;(45)
30;(34);Olivia;451;9;Felicia;606;12;18;(17)
30;(38);Thea;451;9;Filippa;400;8;38;(39)
32;(35);Agnes;443;9;Frida;460;9;28;(26)
33;(27);Anna;439;9;Gabriella;111;2;93;(NY)
34;(35);Saga;437;9;Hanna;939;19;4;(4)
35;(25);Josefine;427;9;Hedda;106;2;97;(88)
36;(33);Linn;414;8;Hilda;115;2;91;(87)
36;(22);Johanna;414;8;Ida;975;20;3;(6)
38;(39);Filippa;400;8;Isabella;306;6;46;(50)
39;(41);Alma;373;8;Isabelle;480;10;23;(29)
40;(40);Lisa;368;7;Jasmine;188;4;67;(66)
41;(32);Nathalie;361;7;Jennifer;306;6;46;(46)
42;(44);Nellie;357;7;Jenny;125;3;85;(76)
43;(52);Alicia;331;7;Johanna;414;8;36;(22)
44;(37);Rebecka;325;7;Jonna;161;3;72;(68)
45;(42);Kajsa;324;7;Josefine;427;9;35;(25)
46;(46);Jennifer;306;6;Julia;896;18;6;(3)
46;(50);Isabella;306;6;Kajsa;324;7;45;(42)
48;(48);Tuva;302;6;Klara;728;15;12;(12)
49;(45);Fanny;283;6;Lina;261;5;52;(49)
50;(51);Nora;280;6;Linn;414;8;36;(33)
51;(80);Lova;275;6;Linnéa;912;18;5;(5)
52;(49);Lina;261;5;Lisa;368;7;40;(40)
53;(56);Elvira;251;5;Liv;112;2;92;(96)
54;(53);Evelina;229;5;Louise;193;4;65;(62)
55;(62);Emmy;217;4;Lova;275;6;51;(80)
56;(55);Tova;211;4;Lovisa;492;10;22;(24)
57;(47);Alexandra;206;4;Madeleine;148;3;78;(71)
58;(69);Molly;205;4;Maja;856;17;8;(11)
58;(83);Tyra;205;4;Malin;202;4;60;(64)
60;(64);Malin;202;4;Maria;145;3;80;(70)
61;(58);Cornelia;198;4;Matilda;717;14;13;(8)
62;(54);Sandra;197;4;Meja;105;2;98;(NY)
63;(66);Sanna;195;4;Melissa;104;2;100;(97)
64;(75);Elina;194;4;Michelle;109;2;94;(92)
65;(62);Louise;193;4;Mikaela;119;2;89;(73)
66;(56);Victoria;189;4;Minna;107;2;96;(NY)
67;(66);Jasmine;188;4;Miranda;140;3;81;(98)
68;(61);Sofie;182;4;Moa;817;16;10;(9)
69;(65);Stina;180;4;Molly;205;4;58;(69)
70;(60);Selma;178;4;My;149;3;76;(72)
70;(59);Ronja;178;4;Nathalie;361;7;41;(32)
72;(68);Jonna;161;3;Nellie;357;7;42;(44)
72;(89);Vera;161;3;Nicole;151;3;75;(83)
74;(74);Tove;158;3;Nora;280;6;50;(51)
75;(83);Nicole;151;3;Nova;122;2;87;(NY)
76;(83);Astrid;149;3;Olivia;451;9;30;(34)
76;(72);My;149;3;Rebecka;325;7;44;(37)
78;(71);Madeleine;148;3;Ronja;178;4;70;(59)
79;(77);Annie;147;3;Saga;437;9;34;(35)
80;(70);Maria;145;3;Sandra;197;4;62;(54)
81;(98);Miranda;140;3;Sanna;195;4;63;(66)
82;(93);Stella;136;3;Sara;582;12;19;(14)
83;(NY);Ester;133;3;Selma;178;4;70;(60)
84;(77);Vendela;132;3;Siri;109;2;94;(NY)
85;(76);Jenny;125;3;Smilla;120;2;88;(77)
86;(80);Ellinor;123;2;Sofia;465;9;27;(29)
87;(NY);Nova;122;2;Sofie;182;4;68;(61)
88;(77);Smilla;120;2;Stella;136;3;82;(93)
89;(73);Mikaela;119;2;Stina;180;4;69;(65)
90;(93);Andrea;117;2;Thea;451;9;30;(38)
91;(87);Hilda;115;2;Tilda;551;11;20;(19)
92;(96);Liv;112;2;Tilde;470;9;26;(28)
93;(NY);Gabriella;111;2;Tindra;456;9;29;(43)
94;(NY);Siri;109;2;Tova;211;4;56;(55)
94;(92);Michelle;109;2;Tove;158;3;74;(74)
96;(NY);Minna;107;2;Tuva;302;6;48;(48)
97;(88);Hedda;106;2;Tyra;205;4;58;(83)
98;(NY);Engla;105;2;Vendela;132;3;84;(77)
98;(NY);Meja;105;2;Vera;161;3;72;(89)
100;(97);Melissa;104;2;Victoria;189;4;66;(56)
100;(NY);Cassandra;104;2;Wilma;882;18;7;(7)
