Flicknamn 2009;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2009.   ;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;
2009;2008;;2009;2008;;2009;2008;2009;2008
1;(6);Alice ;977;(764);Agnes;576;(587);14;(17)
2;(1);Maja ;870;(850);Alexandra ;124;(128);96;(92)
3;(4);Ella ;810;(798);Alice ;977;(764);1;(6)
4;(2);Emma;798;(827);Alicia;458;(436);29;(30)
5;(5);Elsa ;772;(776);Alma ;484;(441);24;(29)
6;(7);Alva ;771;(722);Alva ;771;(722);6;(7)
7;(3);Julia;741;(821);Amanda;539;(597);20;(15)
8;(8);Linnea;685;(718);Anna;172;(177);76;(72)
9;(9);Wilma;668;(703);Astrid ;396;(306);33;(48)
10;(14);Ebba ;655;(625);Cornelia ;240;(229);58;(58)
11;(18);Molly;625;(547);Ebba ;655;(625);10;(14)
12;(11);Nellie ;616;(645);Edith;211;(167);60;(75)
13;(10);Klara ;593;(662);Elin;572;(628);16;(13)
14;(17);Agnes;576;(587);Elina ;164;(167);78;(75)
15;(12);Ida ;574;(639);Elise;163;(123);79;(93)
16;(13);Elin;572;(628);Ella ;810;(798);3;(4)
17;(22);Olivia ;569;(495);Ellen;493;(477);23;(24)
18;(20);Emilia;556;(529);Ellie;192;(118);69;(96)
19;(16);Isabelle ;550;(596);Elsa ;772;(776);5;(5)
20;(15);Amanda;539;(597);Elvira ;365;(376);38;(34)
21;(26);Saga ;512;(469);Emelie;321;(351);50;(40)
22;(21);Moa ;509;(515);Emilia;556;(529);18;(20)
23;(24);Ellen;493;(477);Emma;798;(827);4;(2)
24;(29);Alma ;484;(441);Emmy ;201;(202);66;(64)
25;(28);Matilda ;479;(448);Ester;332;(275);45;(51)
26;(19);Hanna ;473;(539);Evelina;185;(195);73;(66)
27;(25);Nova ;466;(470);Fanny ;133;(150);93;(81)
28;(23);Sara;459;(478);Felicia ;445;(465);30;(27)
29;(30);Alicia;458;(436);Filippa ;316;(354);51;(39)
30;(27);Felicia ;445;(465);Freja;312;(347);52;(41)
31;(44);Stella ;403;(332);Frida ;200;(221);67;(60)
32;(31);Tuva ;398;(419);Greta ;132;(95);94;(Ny)
33;(48);Astrid ;396;(306);Hanna ;473;(539);26;(19)
34;(33);Isabella;386;(395);Hedda;131;(135);95;(89)
34;(53);Meja;386;(258);Hilda ;160;(169);82;(74)
