Flicknamn 2012;;;;;;;;Innehåll;;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2012.   ;;;;;;;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;;;;;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;;;;;;;;
2012;2011;;2012;2011;;2012;2011;2012;2011;;;;;;;
1;(1);Alice;938;(985);Agnes;577;(571);12;(15);;;;;;;
2;(3);Elsa ;756;(723);Alice;938;(985);1;(1);;;;;;;
3;(3);Julia;683;(723);Alicia ;531;(419);17;(29);;;;;;;
4;(6);Ella ;681;(712);Alma ;412;(458);29;(26);;;;;;;
5;(2);Maja ;670;(743);Alva ;595;(618);10;(12);;;;;;;
6;(7);Ebba ;653;(683);Amanda ;375;(431);36;(28);;;;;;;
7;(10);Emma;631;(641);Anna;141;(161);89;(84);;;;;;;
8;(5);Linnea;623;(720);Annie ;135;(133);93;(97);;;;;;;
9;(8);Molly ;606;(675);Astrid ;459;(418);24;(30);;;;;;;
10;(12);Alva ;595;(618);Cornelia ;188;(197);76;(68);;;;;;;
11;(9);Wilma;578;(657);Ebba ;653;(683);6;(7);;;;;;;
12;(15);Agnes;577;(571);Edith;283;(248);50;(58);;;;;;;
13;(16);Klara ;575;(567);Elin;387;(514);32;(17);;;;;;;
13;(11);Nellie;575;(633);Elina ;151;(165);84;(81);;;;;;;
15;(13);Isabelle ;570;(597);Elise;231;(180);59;(75);;;;;;;
16;(14);Olivia ;550;(578);Ella ;681;(712);4;(6);;;;;;;
17;(29);Alicia ;531;(419);Ellen ;517;(503);18;(20);;;;;;;
18;(20);Ellen ;517;(503);Ellie;381;(342);35;(42);;;;;;;
19;(21);Lilly ;516;(502);Elsa ;756;(723);2;(3);;;;;;;
20;(24);Stella ;512;(459);Elvira ;346;(367);42;(35);;;;;;;
21;(19);Freja;504;(506);Emelie;241;(251);56;(56);;;;;;;
22;(27);Saga ;489;(436);Emilia;481;(511);23;(18);;;;;;;
23;(18);Emilia;481;(511);Emma;631;(641);7;(10);;;;;;;
24;(30);Astrid ;459;(418);Emmy ;173;(198);81;(67);;;;;;;
25;(24);Ida ;452;(459);Ester;384;(347);33;(41);;;;;;;
26;(22);Nova ;428;(474);Evelina;126;(161);100;(84);;;;;;;
27;(23);Moa;427;(462);Felicia ;351;(376);40;(34);;;;;;;
28;(33);Isabella ;422;(389);Filippa;233;(273);57;(55);;;;;;;
29;(26);Alma ;412;(458);Freja;504;(506);21;(19);;;;;;;
30;(31);Vera ;404;(400);Frida ;128;(147);97;(89);;;;;;;
31;(38);Signe ;393;(362);Greta ;150;(140);85;(92);;;;;;;
32;(17);Elin;387;(514);Hanna ;318;(348);46;(40);;;;;;;
33;(41);Ester;384;(347);Hedda;134;(137);94;(94);;;;;;;
34;(37);Selma;383;(365);Hedvig ;140;(128);90;(99);;;;;;;
