Flicknamn 2014;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2014.   ;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;
2014;2013;;2014;2013;;2014;2013;2014;2013
1;(3);Elsa ;850;(766);Agnes;673;(584);4;(11)
2;(1);Alice ;806;(903);Alice ;806;(903);2;(1)
3;(2);Maja ;732;(767);Alicia;540;(625);16;(7)
4;(11);Agnes;673;(584);Alma;533;(447);18;(26)
5;(12);Lilly ;646;(575);Alva ;534;(607);17;(9)
6;(8);Olivia ;626;(616);Amanda ;323;(353);40;(37)
7;(5);Julia;610;(687);Amelia ;136;(106);95;(Ny)
8;(6);Ebba ;603;(663);Anna;129;(130);100;(94)
9;(17);Linnea;594;(552);Astrid ;454;(439);23;(27)
10;(15);Molly ;579;(554);Celine;169;(118);78;(Ny)
11;(4);Ella ;578;(700);Cornelia ;221;(230);62;(60)
12;(10);Wilma ;576;(600);Ebba ;603;(663);8;(6)
13;(13);Klara ;572;(573);Edith;278;(277);51;(54)
14;(22);Stella;552;(499);Elin ;321;(371);41;(33)
15;(18);Freja;544;(546);Elina ;142;(162);91;(81)
16;(7);Alicia;540;(625);Elisa;129;(86);100;(Ny)
17;(9);Alva ;534;(607);Elise;334;(254);37;(57)
18;(26);Alma;533;(447);Ella ;578;(700);11;(4)
19;(16);Isabelle ;525;(553);Ellen ;519;(501);20;(21)
20;(21);Ellen ;519;(501);Ellie;467;(375);22;(32)
21;(19);Saga ;504;(505);Ellinor;167;(134);79;(92)
22;(32);Ellie;467;(375);Elsa ;850;(766);1;(3)
23;(27);Astrid ;454;(439);Elvira;401;(341);29;(39)
23;(14);Emma;454;(569);Emelie ;228;(204);60;(68)
25;(20);Nellie ;453;(502);Emilia ;434;(486);26;(23)
26;(23);Emilia ;434;(486);Emma;454;(569);23;(14)
27;(25);Vera ;431;(448);Emmy ;178;(161);72;(82)
28;(28);Signe ;427;(414);Ester;383;(399);32;(29)
29;(39);Elvira;401;(341);Felicia ;355;(349);34;(38)
30;(24);Nova ;399;(456);Filippa;181;(208);71;(67)
31;(30);Selma ;389;(395);Freja;544;(546);15;(18)
32;(29);Ester;383;(399);Greta ;184;(177);68;(76)
33;(35);Leah;357;(358);Hanna ;251;(282);56;(51)
34;(38);Felicia ;355;(349);Hedda;139;(160);94;(84)
35;(40);Sara;349;(332);Hilda ;173;(174);76;(77)
35;(42);Sofia ;349;(314);Hilma ;154;(146);88;(89)
37;(57);Elise;334;(254);Ida ;321;(368);41;(34)
38;(43);Ines ;332;(309);Ines ;332;(309);38;(43)
39;(41);Tyra ;330;(322);Ingrid;220;(225);64;(62)
40;(37);Amanda ;323;(353);Iris ;238;(229);58;(61)
41;(33);Elin ;321;(371);Isabella ;304;(358);45;(35)
41;(34);Ida ;321;(368);Isabelle ;525;(553);19;(16)
43;(31);Moa ;320;(382);Jasmine;190;(170);66;(79)
44;(44);Meja;309;(301);Joline;182;(161);70;(82)
45;(35);Isabella ;304;(358);Julia;610;(687);7;(5)
46;(48);Tuva ;300;(293);Juni ;265;(253);53;(59)
47;(51);Nora ;294;(282);Klara ;572;(573);13;(13)
48;(49);Siri ;285;(292);Leah;357;(358);33;(35)
49;(45);Matilda ;282;(299);Leia;221;(218);62;(63)
50;(56);Sigrid ;281;(256);Lilly ;646;(575);5;(12)
51;(54);Edith;278;(277);Linn;164;(147);82;(88)
52;(46);Lovisa;274;(295);Linnea;594;(552);9;(17)
53;(59);Juni ;265;(253);Lisa ;149;(156);89;(86)
54;(50);Liv ;261;(290);Liv ;261;(290);54;(50)
55;(46);Lova ;257;(295);Livia ;207;(195);65;(71)
56;(51);Hanna ;251;(282);Lova ;257;(295);55;(46)
57;(53);Tilde ;250;(279);Lovis;140;(118);92;(Ny)
58;(61);Iris ;238;(229);Lovisa;274;(295);52;(46)
59;(55);Thea ;232;(275);Luna;130;(82);99;(Ny)
60;(68);Emelie ;228;(204);Lykke;167;(173);79;(78)
61;(57);Melissa ;224;(254);Maja ;732;(767);3;(2)
62;(60);Cornelia ;221;(230);Majken ;172;(193);77;(73)
62;(63);Leia;221;(218);Maria;149;(127);89;(95)
64;(62);Ingrid;220;(225);Matilda ;282;(299);49;(45)
65;(71);Livia ;207;(195);Meja;309;(301);44;(44)
66;(79);Jasmine;190;(170);Melissa ;224;(254);61;(57)
67;(66);Nathalie ;188;(216);Minna ;140;(202);92;(69)
68;(76);Greta ;184;(177);Mira ;160;(170);85;(79)
68;(65);Stina;184;(217);Moa ;320;(382);43;(31)
70;(82);Joline;182;(161);Molly ;579;(554);10;(15)
71;(67);Filippa;181;(208);My ;162;(150);84;(87)
72;(82);Emmy ;178;(161);Märta ;175;(193);74;(73)
72;(63);Svea ;178;(218);Nathalie ;188;(216);67;(66)
74;(73);Märta ;175;(193);Nellie ;453;(502);25;(20)
74;(72);Tilda;175;(194);Nicole ;132;(122);97;(99)
76;(77);Hilda ;173;(174);Nora ;294;(282);47;(51)
77;(73);Majken ;172;(193);Nova ;399;(456);30;(24)
78;(Ny);Celine;169;(118);Novalie;167;(157);79;(85)
79;(92);Ellinor;167;(134);Olivia ;626;(616);6;(8)
