Flicknamn 2011;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2011.   ;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;
2011;2010;;2011;2010;;2011;2010;2011;2010
1;(2);Alice;985;(867);Agnes;571;(588);15;(15)
2;(1);Maja ;743;(895);Alice;985;(867);1;(2)
3;(7);Elsa ;723;(724);Alicia ;419;(456);29;(28)
3;(3);Julia;723;(823);Alma ;458;(506);26;(23)
5;(4);Linnéa;720;(750);Alva ;618;(711);12;(9)
6;(6);Ella ;712;(737);Amanda ;431;(475);28;(25)
7;(12);Ebba ;683;(661);Anna;161;(172);84;(81)
8;(11);Molly ;675;(677);Annie ;133;(133);97;(97)
9;(5);Wilma ;657;(742);Astrid ;418;(441);30;(29)
10;(8);Emma;641;(722);Cornelia ;197;(198);68;(70)
11;(14);Nellie ;633;(592);Ebba ;683;(661);7;(12)
12;(9);Alva ;618;(711);Edith;248;(248);58;(60)
13;(16);Isabelle ;597;(583);Elin;514;(570);17;(18)
14;(10);Olivia;578;(703);Elina ;165;(160);81;(87)
15;(15);Agnes;571;(588);Elise;180;(161);75;(86)
16;(13);Klara ;567;(638);Ella ;712;(737);6;(6)
17;(18);Elin;514;(570);Ellen;503;(545);20;(19)
18;(21);Emilia ;511;(522);Ellie;342;(328);42;(48)
19;(41);Freja ;506;(378);Elsa ;723;(724);3;(7)
20;(19);Ellen;503;(545);Elvira ;367;(412);35;(34)
21;(27);Lilly ;502;(460);Emelie;251;(253);56;(58)
22;(22);Nova ;474;(515);Emilia ;511;(522);18;(21)
23;(20);Moa ;462;(542);Emma;641;(722);10;(8)
24;(17);Ida;459;(577);Emmy ;198;(212);67;(66)
24;(33);Stella ;459;(416);Ester;347;(339);41;(46)
26;(23);Alma ;458;(506);Evelina;161;(199);84;(69)
27;(24);Saga ;436;(490);Felicia;376;(412);34;(34)
28;(25);Amanda ;431;(475);Filippa ;273;(269);55;(56)
29;(28);Alicia ;419;(456);Freja ;506;(378);19;(41)
30;(29);Astrid ;418;(441);Frida ;147;(167);89;(82)
31;(39);Vera ;400;(399);Greta;140;(159);92;(88)
32;(31);Tuva ;394;(431);Hanna ;348;(408);40;(37)
33;(26);Isabella;389;(467);Hedda;137;(150);94;(91)
34;(34);Felicia;376;(412);Hedvig ;128;(129);99;(99)
35;(34);Elvira ;367;(412);Hilda ;154;(176);86;(78)
36;(38);Sara;366;(404);Hilma ;126;(114);100;(Ny)
37;(43);Selma ;365;(359);Ida;459;(577);24;(17)
38;(45);Signe ;362;(352);Inez ;291;(252);53;(59)
39;(30);Matilda ;356;(433);Ingrid;205;(182);65;(73)
40;(37);Hanna ;348;(408);Iris ;197;(164);68;(84)
41;(46);Ester;347;(339);Isabella;389;(467);33;(26)
42;(48);Ellie;342;(328);Isabelle ;597;(583);13;(16)
43;(40);Thea ;341;(380);Jasmine;196;(201);70;(68)
44;(36);Tyra ;333;(409);Joline;172;(179);79;(75)
45;(31);Tilde ;326;(431);Josefin;163;(162);83;(85)
46;(42);Lova ;323;(372);Julia;723;(823);3;(3)
47;(49);Lea;321;(308);Juni ;193;(130);71;(98)
48;(90);Minna;311;(154);Klara ;567;(638);16;(13)
49;(52);Sofia ;310;(297);Lea;321;(308);47;(49)
50;(43);Meja;309;(359);Leia;215;(276);63;(55)
51;(53);Nora ;305;(290);Lilly ;502;(460);21;(27)
52;(47);Lovisa;299;(336);Lina ;147;(150);89;(91)
53;(59);Inez ;291;(252);Linn ;179;(219);76;(64)
54;(57);Siri ;287;(262);Linnéa;720;(750);5;(4)
55;(56);Filippa ;273;(269);Lisa ;177;(220);77;(63)
56;(58);Emelie;251;(253);Liv ;246;(240);59;(61)
56;(54);Nathalie ;251;(282);Livia ;199;(210);66;(67)
